Portfolio,Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
Original,2025-11-19,0.016516872786911087,0.0037537855204221593,0.012763087266488927
Original,2025-11-20,-0.05488590248055087,-0.01556722511953934,-0.03931867736101153
Original,2025-11-21,0.010772013115818142,0.00982296337531885,0.0009490497404992925
Original,2025-11-24,0.04487890927331181,0.015467235297948356,0.029411673975363456
Original,2025-11-25,0.011215046412042061,0.009061731930226413,0.002153314481815648
Original,2025-11-26,0.020623956623612525,0.006906714278112958,0.013717242345499567
Original,2025-11-28,0.017220089886409776,0.005354775922884247,0.011865313963525529
Original,2025-12-01,-0.007389007483774309,-0.00532333492478565,-0.0020656725589886593
Original,2025-12-02,0.00965786397302444,0.002457200816718297,0.007200663156306143
Original,2025-12-03,-0.0017983904229197023,0.002979777051177468,-0.00477816747409717
Original,2025-12-04,0.010385474205574324,0.0010803361305278258,0.009305138075046498
Original,2025-12-05,0.013305878084297553,0.0019366731222436595,0.011369204962053894
Original,2025-12-08,0.00581840241091208,-0.0034772356776897606,0.00929563808860184
Original,2025-12-09,0.005008900332496951,-0.0008763589040255981,0.005885259236522549
Original,2025-12-10,0.030332476414936183,0.006749496748049477,0.023582979666886706
Original,2025-12-11,0.01527784503966697,0.0020793764194066977,0.013198468620260272
Original,2025-12-12,-0.04767737808984259,-0.010663671931604113,-0.03701370615823848
Original,2025-12-15,-0.001119548578023827,-0.0015965058492165562,0.00047695727119272916
Original,2025-12-16,-0.0021611501960700566,-0.0023839178699950336,0.00022276767392497704
Original,2025-12-17,-0.0294153212471027,-0.011592203827500702,-0.017823117419602
Original,2025-12-18,0.030936689908176565,0.007934323499612317,0.023002366408564248
Original,2025-12-19,0.029771728796902694,0.008818024549947179,0.020953704246955515
Original,2025-12-22,0.009686282516784658,0.006436462067451965,0.003249820449332693
Original,2025-12-23,0.0052085774396521635,0.004550417315428268,0.0006581601242238956
Original,2025-12-24,0.005387280436212368,0.0032215161386959235,0.0021657642975164444
Original,2025-12-26,0.0008955321042952091,-0.0003043832632483312,0.0011999153675435403
Original,2025-12-29,-0.01013275727866426,-0.0034920937266411656,-0.006640663552023094
Original,2025-12-30,-0.0036211439850577184,-0.0013756671985912794,-0.002245476786466439
Original,2025-12-31,-0.013261291662861637,-0.0073576325649918894,-0.005903659097869747
Original,2026-01-02,0.04404364343533191,0.0018946753341611,0.04214896810117081
Original,2026-01-05,0.010193444759759073,0.0063541868667500445,0.0038392578930090283
Original,2026-01-06,0.047351508547404206,0.006196709673212952,0.041154798874191253
Original,2026-01-07,-0.015931103734008786,-0.0034399739662078765,-0.01249112976780091
Original,2026-01-08,-0.028039780125868656,7.65793036485718e-05,-0.028116359429517228
Original,2026-01-09,0.03412230792701662,0.006475512391894256,0.027646795535122365
Original,2026-01-12,0.01922889651887721,0.0015775995222702122,0.017651296996607
Original,2026-01-13,0.01594152216337249,-0.0019391538524380358,0.017880676015810525
Original,2026-01-14,-0.005567453021700374,-0.0053333409920530706,-0.00023411202964730357
Original,2026-01-15,0.017192457972908394,0.002579909335027164,0.01461254863788123
Original,2026-01-16,-0.00011623196300404947,-0.000642237636565457,0.0005260056735614075
Original,2026-01-20,0.004195381477614677,-0.020626771431165203,0.024822152908779878
Original,2026-01-21,0.03003639757036906,0.011587703733783039,0.01844869383658602
Original,2026-01-22,-0.001772824601076279,0.005487505126810399,-0.007260329727886678
Original,2026-01-23,-0.012904707123222793,0.0003269037442048539,-0.013231610867427647
Original,2026-01-26,0.004904599929241998,0.005006065986948416,-0.00010146605770641748
Original,2026-01-27,0.0342881240762721,0.004081879304713709,0.030206244771558394
Original,2026-01-28,0.025066720772740057,-8.16782735792998e-05,0.025148399046319356
Original,2026-01-29,0.00742050008247162,-0.0012926284352460238,0.008713128517717644
Original,2026-01-30,-0.03873184420335336,-0.004301902278802894,-0.03442994192455047
Original,2026-02-02,0.03420636738661091,0.005391243444688998,0.028815123941921914
Original,2026-02-03,0.023030622637240983,-0.008403999747722213,0.031434622384963196
Original,2026-02-04,-0.057702207052928896,-0.005072414535814085,-0.05262979251711481
Original,2026-02-05,-0.017311452596441103,-0.01225097054652824,-0.005060482049912864
Original,2026-02-06,0.05930710854734802,0.01969581077900684,0.03961129776834118
Original,2026-02-09,0.023634465970775086,0.0046910837672922145,0.01894338220348287
Original,2026-02-10,-0.016102124559115267,-0.003303746543341979,-0.012798378015773288
Original,2026-02-11,0.028145243908629918,-4.897858051433612e-05,0.028194222489144254
Original,2026-02-12,-0.02658095231816548,-0.015660947897203292,-0.01092000442096219
Original,2026-02-13,0.018381428064569542,0.0004990662631205733,0.01788236180144897
Original,2026-02-17,-0.006941295034721952,0.0010312792104349988,-0.00797257424515695
Original,2026-02-18,0.014499396708739133,0.005566093154976803,0.00893330355376233
Original,2026-02-19,0.002508505389616587,-0.0028221370640183485,0.005330642453634935
Original,2026-02-20,0.01612614323457765,0.00693977898217546,0.009186364252402192
Original,2026-02-23,-0.008393389266701213,-0.010385685815636703,0.00199229654893549
Original,2026-02-24,0.027862938601935262,0.007651639793791798,0.020211298808143464
Original,2026-02-25,0.019974828204695056,0.008136346945676998,0.011838481259018058
Original,2026-02-26,-0.012152300109602967,-0.005365577666988752,-0.006786722442614215
Original,2026-02-27,-0.00622122445978206,-0.00433935555214604,-0.0018818689076360194
Minimum_TE,2025-02-27,-0.016505152424626017,-0.01586451446090209,-0.0006406379637239265
Minimum_TE,2025-02-28,0.023450508864866874,0.015854114170776867,0.007596394694090007
Minimum_TE,2025-03-03,-0.027169401795416513,-0.017596775547904953,-0.00957262624751156
Minimum_TE,2025-03-04,-0.014517635505226506,-0.012234773630190987,-0.0022828618750355186
Minimum_TE,2025-03-05,0.023776949419952637,0.011159281084776262,0.012617668335176375
Minimum_TE,2025-03-06,-0.01778584905450965,-0.017819030128555013,3.318107404536377e-05
Minimum_TE,2025-03-07,0.018506854359907687,0.005520587189728143,0.012986267170179543
Minimum_TE,2025-03-10,-0.014772009147229658,-0.026973068524487775,0.012201059377258117
Minimum_TE,2025-03-11,-0.005998686332816269,-0.007567823658488071,0.001569137325671802
Minimum_TE,2025-03-12,0.00439544319588262,0.004886873280486537,-0.0004914300846039169
Minimum_TE,2025-03-13,0.0037995455260035316,-0.013891022092047178,0.01769056761805071
Minimum_TE,2025-03-14,0.021972204658838822,0.021265883307494793,0.0007063213513440296
Minimum_TE,2025-03-17,0.028005552568005847,0.006416099479689574,0.021589453088316272
Minimum_TE,2025-03-18,-0.006840438136492387,-0.010653519220738983,0.003813081084246596
Minimum_TE,2025-03-19,0.013379015366638082,0.010798516740105457,0.002580498626532625
Minimum_TE,2025-03-20,-0.005181025856153724,-0.002184910374623983,-0.002996115481529741
Minimum_TE,2025-03-21,-0.0012717720573408428,0.0008246672635350283,-0.0020964393208758713
Minimum_TE,2025-03-24,0.0194884835044946,0.017646041682840563,0.0018424418216540367
Minimum_TE,2025-03-25,-0.0008454346955303065,0.0015743198608773046,-0.002419754556407611
Minimum_TE,2025-03-26,-0.014772451285038471,-0.01115698545004451,-0.003615465834993961
Minimum_TE,2025-03-27,-0.007792154050836903,-0.0033069570393192693,-0.004485197011517634
Minimum_TE,2025-03-28,-0.015278444295763338,-0.019737200328104554,0.004458756032341216
Minimum_TE,2025-03-31,6.833259375524336e-05,0.0055384935154294546,-0.005470160921674211
Minimum_TE,2025-04-01,0.0009045409186233838,0.003781284246727745,-0.0028767433281043616
Minimum_TE,2025-04-02,0.013699061719606572,0.006728125160880394,0.006970936558726179
Minimum_TE,2025-04-03,-0.0736540262957366,-0.04839560075260485,-0.02525842554313175
Minimum_TE,2025-04-04,-0.07088999138446003,-0.05974961641947041,-0.011140374964989624
Minimum_TE,2025-04-07,0.005043365057728385,-0.0023314571311449095,0.007374822188873294
Minimum_TE,2025-04-08,-0.019089220452761575,-0.015700528421156545,-0.00338869203160503
Minimum_TE,2025-04-09,0.10447152850594144,0.09515390034057347,0.009317628165367964
Minimum_TE,2025-04-10,-0.038944413473855376,-0.034607561069471604,-0.004336852404383772
Minimum_TE,2025-04-11,0.022981611915637138,0.018092083408471682,0.004889528507165456
Minimum_TE,2025-04-14,0.011481764040024427,0.007944646639420183,0.0035371174006042436
Minimum_TE,2025-04-15,-0.003006625091340096,-0.0017277195396940837,-0.0012789055516460122
Minimum_TE,2025-04-16,-0.016789282082369007,-0.022408428964001637,0.00561914688163263
Minimum_TE,2025-04-17,0.0059211224730024966,0.0013268381447011368,0.00459428432830136
Minimum_TE,2025-04-21,-0.021432614959429292,-0.023567493895167213,0.002134878935737921
Minimum_TE,2025-04-22,0.01970286519486164,0.02511728897677501,-0.005414423781913369
Minimum_TE,2025-04-23,0.02177238428841496,0.016661119264111734,0.005111265024303226
Minimum_TE,2025-04-24,0.035236701719610936,0.02025908412793509,0.014977617591675846
Minimum_TE,2025-04-25,-0.004364422778016911,0.007373144179245283,-0.011737566957262194
Minimum_TE,2025-04-28,0.00454652961049154,0.0006406996295162948,0.003905829980975245
Minimum_TE,2025-04-29,0.003691148611718631,0.0058023965634184105,-0.0021112479516997794
Minimum_TE,2025-04-30,-0.00347299683859833,0.0014799948928487794,-0.00495299173144711
Minimum_TE,2025-05-01,0.006996974330290112,0.006299088176460632,0.0006978861538294795
Minimum_TE,2025-05-02,0.022574009963171583,0.014726612825518126,0.007847397137653457
Minimum_TE,2025-05-05,0.0005304265322245566,-0.0063815906321273985,0.006912017164351955
Minimum_TE,2025-05-06,-0.0015309600551361112,-0.007693287885062627,0.006162327829926516
Minimum_TE,2025-05-07,0.0002014738386960333,0.004346422539330819,-0.004144948700634785
Minimum_TE,2025-05-08,0.014801136013501371,0.005799747126763233,0.009001388886738139
Minimum_TE,2025-05-09,0.005867354820400789,-0.0007115188367108338,0.006578873657111623
Minimum_TE,2025-05-12,0.041272794932706976,0.03255882160670387,0.008713973326003106
Minimum_TE,2025-05-13,0.015137694143991251,0.007248224304822415,0.007889469839168836
Minimum_TE,2025-05-14,-0.004270427640032238,0.001024369112638146,-0.005294796752670384
Minimum_TE,2025-05-15,0.003059748695408212,0.004132315556174104,-0.0010725668607658922
Minimum_TE,2025-05-16,0.006118758416255571,0.0070053220166539365,-0.0008865636003983655
Minimum_TE,2025-05-19,-0.006078062895250223,0.000876077054501545,-0.006954139949751768
Minimum_TE,2025-05-20,-0.005207607577628066,-0.0038802065866255786,-0.0013274009910024878
Minimum_TE,2025-05-21,-0.0231178704669041,-0.016135114115741978,-0.006982756351162123
Minimum_TE,2025-05-22,-0.004677514717120715,-0.0004448543187653975,-0.0042326603983553176
Minimum_TE,2025-05-23,0.0015259018995242217,-0.006708307585916562,0.008234209485440784
