Date,Portfolio,Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
2025-06-30,Original,Sector_Technology,-1.225696574435246e-05,-0.03205005044092257
2025-06-30,Original,Sector_Utilities,-9.587144130460395e-07,-0.0025068884043118744
2025-06-30,Original,Size,1.5030980400312826e-06,0.003930366536502018
2025-06-30,Original,Nonlinear_Size,-5.044195015043692e-07,-0.0013189781878968727
2025-06-30,Original,Momentum,1.2599836967007749e-06,0.003294660511930259
2025-06-30,Original,Residual_Volatility,9.587025609049966e-06,0.025068574128147794
2025-06-30,Original,Liquidity,-2.776503068357572e-07,-0.0007260121733736451
2025-06-30,Original,Book_to_Price,9.573228384745949e-07,0.0025032496542217344
2025-06-30,Original,Earnings_Yield,2.6829028734662733e-06,0.007015371847825369
2025-06-30,Original,Leverage,6.60346198875833e-07,0.001726702140143743
2025-06-30,Original,Dividend_Yield,9.037949955403574e-08,0.00023632827079302709
2025-06-30,Minimum_TE,Market,0.00020229430088302902,0.8858029520132784
2025-06-30,Minimum_TE,Sector_Basic_Materials,-5.7894967176646997e-08,-0.0002535095284836473
2025-06-30,Minimum_TE,Sector_Communication_Services,8.177672691579578e-07,0.0035808258458986885
2025-06-30,Minimum_TE,Sector_Consumer_Cyclical,2.0156496510645417e-07,0.0008826093485302398
2025-06-30,Minimum_TE,Sector_Consumer_Defensive,-5.138394311285716e-07,-0.002249991635788574
2025-06-30,Minimum_TE,Sector_Energy,-2.9885772028694916e-08,-0.0001308633262067083
2025-06-30,Minimum_TE,Sector_Financial_Services,2.656976867290416e-06,0.01163432653418013
2025-06-30,Minimum_TE,Sector_Healthcare,-3.6534207749947037e-07,-0.0015997538701340854
2025-06-30,Minimum_TE,Sector_Industrials,3.5383476099170714e-06,0.015493658221869426
2025-06-30,Minimum_TE,Sector_Real_Estate,3.1023023353815666e-07,0.001358431035735233
2025-06-30,Minimum_TE,Sector_Technology,-7.433975370516572e-07,-0.0032551768881542526
2025-06-30,Minimum_TE,Sector_Utilities,4.833828884156757e-07,0.002116629028313036
2025-06-30,Minimum_TE,Size,1.5154960939165507e-06,0.0066360293290323395
2025-06-30,Minimum_TE,Nonlinear_Size,-6.879728220071108e-07,-0.0030124840590105293
2025-06-30,Minimum_TE,Momentum,-7.807585016213196e-08,-0.0003418772464309442
2025-06-30,Minimum_TE,Residual_Volatility,2.1425969020008775e-06,0.009381968016312532
2025-06-30,Minimum_TE,Liquidity,5.475241728433451e-07,0.0023974898278706345
2025-06-30,Minimum_TE,Book_to_Price,-2.19549303434097e-08,-9.613588729167077e-05
2025-06-30,Minimum_TE,Earnings_Yield,1.2535099637261005e-06,0.0054888487782395485
2025-06-30,Minimum_TE,Leverage,3.431335056060344e-07,0.001502507341401772
2025-06-30,Minimum_TE,Dividend_Yield,1.3034110134460825e-07,0.0005707354672659581
2025-06-30,MVO,Market,0.0003216120472045865,0.8409652560271497
2025-06-30,MVO,Sector_Basic_Materials,2.3651632360803024e-06,0.006184532338463681
2025-06-30,MVO,Sector_Communication_Services,5.411727824600206e-07,0.0014150822754065225
2025-06-30,MVO,Sector_Consumer_Cyclical,-1.669627257965064e-06,-0.004365814423522857
2025-06-30,MVO,Sector_Consumer_Defensive,2.5022642387048925e-05,0.06543030040200655
2025-06-30,MVO,Sector_Energy,-4.529704294061886e-06,-0.011844469025626438
2025-06-30,MVO,Sector_Financial_Services,-7.640529069846103e-06,-0.019978789791162944
2025-06-30,MVO,Sector_Healthcare,2.7829308877334816e-05,0.07276929477147007
2025-06-30,MVO,Sector_Industrials,-7.057057347502383e-06,-0.018453102396582065
2025-06-30,MVO,Sector_Real_Estate,6.5089311651953655e-06,0.017019838066947738
2025-06-30,MVO,Sector_Technology,-1.225696574435246e-05,-0.03205005044092257
2025-06-30,MVO,Sector_Utilities,-9.587144130460395e-07,-0.0025068884043118744
2025-06-30,MVO,Size,1.5030980400312826e-06,0.003930366536502018
2025-06-30,MVO,Nonlinear_Size,-5.044195015043692e-07,-0.0013189781878968727
2025-06-30,MVO,Momentum,1.2599836967007749e-06,0.003294660511930259
2025-06-30,MVO,Residual_Volatility,9.587025609049966e-06,0.025068574128147794
2025-06-30,MVO,Liquidity,-2.776503068357572e-07,-0.0007260121733736451
2025-06-30,MVO,Book_to_Price,9.573228384745949e-07,0.0025032496542217344
2025-06-30,MVO,Earnings_Yield,2.6829028734662733e-06,0.007015371847825369
2025-06-30,MVO,Leverage,6.60346198875833e-07,0.001726702140143743
2025-06-30,MVO,Dividend_Yield,9.037949955403574e-08,0.00023632827079302709
2025-07-31,Original,Market,0.0003531218160914294,0.8413661568163828
2025-07-31,Original,Sector_Basic_Materials,1.0322724684297616e-06,0.002459545346598565
2025-07-31,Original,Sector_Communication_Services,-6.584459432971394e-07,-0.0015688470877138142
