Date,Portfolio,Predicted Total Risk,Predicted Proxy Tracking Error,Systematic Risk,Idiosyncratic Risk,Proxy Active Systematic Risk,Proxy Active Idiosyncratic Risk,Proxy Benchmark Idiosyncratic Variance Daily,Turnover
2021-06-30,Minimum_TE,0.21664100118405702,0.11154890021632437,0.20476782769795196,0.07073514072858307,0.08754426136065672,0.06913146492219382,1.7428862816665166e-06,0.4810197551684088
2021-06-30,MVO,0.2489974544060162,0.16865533616034503,0.22648910491374266,0.10345248984943661,0.13502732800778444,0.10105564361497671,1.7428862816665166e-06,0.42076000224771914
2021-07-31,Original,0.25114243764022337,0.17132261008498986,0.24341239420635058,0.06182984983489485,0.15936082853136918,0.06289326717645558,1.7490051249785129e-06,0.38095238095238093
2021-07-31,Minimum_TE,0.2041093007877029,0.1049454909530654,0.19337486377423163,0.06532050771650763,0.08156885993736093,0.0660308803507808,1.7490051249785129e-06,0.5600345045375379
2021-07-31,MVO,0.25114243764022354,0.18073574458313937,0.22942886829416123,0.10215144823806456,0.14886199077258944,0.10249642468517273,1.7490051249785129e-06,0.5268082364282768
2021-08-31,Original,0.2647704505347525,0.1843236963523936,0.25661524027610094,0.06520743772312185,0.17215197645904226,0.06587049444367907,1.4941900099134792e-06,0.3333333333333333
2021-08-31,Minimum_TE,0.223667712788348,0.13290645801797307,0.21214282840585952,0.07087077042006083,0.1118935469318405,0.0717214105961061,1.4941900099134792e-06,0.5180847569743285
2021-08-31,MVO,0.25789418385667573,0.17114137662566486,0.23795371325110326,0.09943560940182634,0.13936877990595573,0.09932630054951679,1.4941900099134792e-06,0.4344818703226866
2021-09-30,Original,0.30420921046989147,0.24015591377219003,0.2980407749902336,0.060950309088106086,0.2320817120713938,0.061749023002524064,1.3838088775266782e-06,0.47619047619047616
2021-09-30,Minimum_TE,0.22041961112887756,0.13794409421114426,0.2057917382120085,0.07895926452219382,0.11287648251776419,0.07929358626112151,1.3838088775266782e-06,0.5869345643907604
2021-09-30,MVO,0.30420921046991845,0.24249348678048255,0.28866907578946804,0.0959865012258781,0.22276765481062932,0.09580012056948765,1.3838088775266782e-06,0.5986495289907987
2021-10-31,Original,0.32306385918736125,0.27245462524799857,0.3174915573661986,0.05974418895773029,0.2661159960738535,0.05842772845702742,1.5355387712760746e-06,0.42857142857142855
2021-10-31,Minimum_TE,0.2265689459353891,0.1612110076502254,0.21122370539706065,0.08196361107594632,0.14075513803516684,0.0785937663196144,1.5355387712760746e-06,0.5773702444951917
2021-10-31,MVO,0.3230638591873647,0.2716304478209632,0.31043237682883723,0.08945387934255396,0.25757925996392317,0.08623238962161892,1.5355387712760746e-06,0.43941432000064723
2021-11-30,Original,0.22138489361971864,0.1478386465198343,0.21468562554079523,0.05404954494879286,0.13733344666901134,0.05473380884632768,1.7320694629661142e-06,0.5714285714285714
2021-11-30,Minimum_TE,0.17225136252245507,0.08837427401207744,0.15837235185114898,0.06774016578056268,0.05666371416471061,0.06781766587122945,1.7320694629661142e-06,0.8364505002210816
2021-11-30,MVO,0.221384893619814,0.14855561725379152,0.20913019435986485,0.07263492913235002,0.1300044936093849,0.07188604217108073,1.7320694629661142e-06,0.6394644423192413
2021-12-31,Original,0.21112137978900802,0.1231597530280051,0.2049602092878678,0.05063150810205062,0.11179495759687119,0.05167409623624764,1.558216556808261e-06,0.2857142857142857
